0,-41,-59,4162,20,-29,1,31496,-32459,-31635,16191,0,0,0
0,-42,-59,4161,29,-7,-20,31494,-32459,-31635,16191,0,0,0
0,-48,-52,4154,35,-31,-3,31495,-32459,-31636,16191,0,0,0
0,-48,-48,4153,20,-29,2,31496,-32459,-31635,16191,0,0,0
0,-52,-40,4153,52,-37,4,31495,-32459,-31636,16191,0,0,0
0,-52,-46,4154,43,-26,-8,31495,-32458,-31636,16191,0,0,0
0,-46,-50,4139,13,-20,-1,31495,-32458,-31636,16191,0,0,0
0,-42,-48,4151,48,-22,-14,31496,-32459,-31635,16191,0,0,0
0,-50,-62,4154,26,-7,7,31496,-32460,-31636,16191,0,0,0
0,-53,-61,4149,22,-16,4,31495,-32461,-31637,16191,0,0,0
0,-51,-64,4148,24,-27,10,31495,-32460,-31634,16191,0,0,0
0,-44,-66,4144,42,-22,1,31496,-32460,-31636,16191,0,0,0
0,-41,-62,4156,31,-39,2,31497,-32459,-31636,16191,0,0,0
0,-43,-60,4136,29,-22,4,31495,-32460,-31638,16191,0,0,0
0,-43,-54,4132,23,-32,0,31495,-32459,-31636,16191,0,0,0
0,-44,-42,4148,23,-9,-10,31497,-32459,-31636,16191,0,0,0
0,-48,-35,4149,41,-22,-4,31495,-32458,-31636,16191,0,0,0
0,-53,-39,4148,40,-20,-2,31496,-32459,-31636,16191,0,0,0
0,-46,-44,4154,20,-20,7,31494,-32460,-31636,16191,0,0,0
0,-50,-48,4144,49,-25,9,31496,-32458,-31635,16191,0,0,0
0,-46,-55,4154,61,-47,-10,31496,-32461,-31636,16191,0,0,0
0,-43,-62,4149,37,-36,-5,31495,-32460,-31636,16191,0,0,0
0,-42,-66,4145,38,-31,-2,31495,-32460,-31634,16191,0,0,0
0,-47,-60,4153,46,-11,5,31496,-32458,-31638,16191,0,0,0
0,-45,-58,4148,39,-32,7,31497,-32460,-31636,16191,0,0,0
0,-44,-57,4148,40,-32,-4,31495,-32459,-31637,16191,0,0,0
0,-42,-50,4153,47,-46,-11,31496,-32459,-31639,16191,0,0,0
0,-45,-49,4149,32,-25,-7,31496,-32460,-31635,16191,0,0,0
0,-46,-45,4153,26,-40,14,31495,-32460,-31635,16191,0,0,0
0,-45,-46,4156,36,-29,16,31494,-32461,-31636,16191,0,0,0
0,-49,-47,4152,24,-25,-5,31495,-32461,-31639,16191,0,0,0
0,-53,-51,4151,43,-30,1,31495,-32460,-31634,16191,0,0,0
0,-51,-50,4153,41,-21,-11,31496,-32457,-31637,16191,0,0,0
0,-49,-54,4149,46,-29,0,31494,-32459,-31637,16191,0,0,0
0,-51,-59,4153,21,-24,-1,31495,-32461,-31640,16191,0,0,0
0,-46,-56,4153,32,-28,2,31494,-32459,-31636,16191,0,0,0
0,-45,-59,4150,52,-26,-3,31496,-32461,-31636,16191,0,0,0
